race	age	gender	deaths	icdcode	rate100k
asian	0	F	133	A00-B99	7.982896
asian	0	F	42	C00-D48	2.520915
asian	0	F	58	D50-D89	3.481263
asian	0	F	61	E00-E88	3.661328
asian	0	F	124	G00-G98	7.4427
asian	0	F	186	I00-I99	11.16405
asian	0	F	134	J00-J98	8.042918
asian	0	F	97	K00-K92	5.822112
asian	0	F	2	M00-M99	0.120044
asian	0	F	30	N00-N98	1.800653
asian	0	F	3088	P00-P96	185.347244
asian	0	F	1483	Q00-Q99	89.012294
asian	0	F	204	V01-Y89	12.244442
asian	0	M	143	A00-B99	8.154667
asian	0	M	52	C00-D48	2.965334
asian	0	M	63	D50-D89	3.592616
asian	0	M	121	E00-E88	6.900103
asian	0	M	1	F01-F99	0.057026
asian	0	M	139	G00-G98	7.926565
asian	0	M	194	I00-I99	11.062975
asian	0	M	192	J00-J98	10.948924
asian	0	M	150	K00-K92	8.553847
asian	0	M	7	M00-M99	0.39918
asian	0	M	43	N00-N98	2.452103
asian	0	M	3951	P00-P96	225.308323
asian	0	M	1641	Q00-Q99	93.579083
asian	0	M	276	V01-Y89	15.739078
asian	1	F	24	A00-B99	1.431369
asian	1	F	26	C00-D48	1.550649
asian	1	F	14	D50-D89	0.834965
asian	1	F	19	E00-E88	1.133167
asian	1	F	34	G00-G98	2.027772
asian	1	F	18	I00-I99	1.073526
asian	1	F	38	J00-J98	2.266334
asian	1	F	9	K00-K92	0.536763
asian	1	F	4	M00-M99	0.238561
asian	1	F	3	N00-N98	0.178921
asian	1	F	4	P00-P96	0.238561
asian	1	F	86	Q00-Q99	5.129071
asian	1	F	108	V01-Y89	6.441159
asian	1	M	45	A00-B99	2.589107
asian	1	M	47	C00-D48	2.704178
asian	1	M	17	D50-D89	0.978107
asian	1	M	20	E00-E88	1.150714
asian	1	M	48	G00-G98	2.761714
asian	1	M	27	I00-I99	1.553464
asian	1	M	49	J00-J98	2.81925
asian	1	M	23	K00-K92	1.323321
asian	1	M	3	M00-M99	0.172607
asian	1	M	4	N00-N98	0.230143
asian	1	M	17	P00-P96	0.978107
asian	1	M	86	Q00-Q99	4.948071
asian	1	M	145	V01-Y89	8.342678
asian	2	F	23	A00-B99	1.374153
asian	2	F	45	C00-D48	2.688561
asian	2	F	2	D50-D89	0.119492
asian	2	F	12	E00-E88	0.71695
asian	2	F	2	F01-F99	0.119492
asian	2	F	17	G00-G98	1.015678
asian	2	F	28	I00-I99	1.672882
asian	2	F	29	J00-J98	1.732628
asian	2	F	6	K00-K92	0.358475
asian	2	F	1	M00-M99	0.059746
asian	2	F	2	N00-N98	0.119492
asian	2	F	4	P00-P96	0.238983
asian	2	F	33	Q00-Q99	1.971611
asian	2	F	92	V01-Y89	5.496613
asian	2	M	15	A00-B99	0.870882
asian	2	M	47	C00-D48	2.728763
asian	2	M	8	D50-D89	0.46447
asian	2	M	19	E00-E88	1.103117
asian	2	M	1	F01-F99	0.058059
asian	2	M	24	G00-G98	1.393411
asian	2	M	24	I00-I99	1.393411
asian	2	M	35	J00-J98	2.032058
asian	2	M	16	K00-K92	0.928941
asian	2	M	2	M00-M99	0.116118
asian	2	M	1	N00-N98	0.058059
asian	2	M	4	P00-P96	0.232235
asian	2	M	39	Q00-Q99	2.264293
asian	2	M	115	V01-Y89	6.676761
asian	3	F	12	A00-B99	0.71812
asian	3	F	29	C00-D48	1.735457
asian	3	F	5	D50-D89	0.299217
asian	3	F	11	E00-E88	0.658277
asian	3	F	2	F01-F99	0.119687
asian	3	F	17	G00-G98	1.017337
asian	3	F	19	I00-I99	1.137023
asian	3	F	19	J00-J98	1.137023
asian	3	F	3	K00-K92	0.17953
asian	3	F	2	M00-M99	0.119687
asian	3	F	1	P00-P96	0.059843
asian	3	F	28	Q00-Q99	1.675613
asian	3	F	75	V01-Y89	4.48825
asian	3	M	11	A00-B99	0.640932
asian	3	M	40	C00-D48	2.330661
asian	3	M	4	D50-D89	0.233066
asian	3	M	7	E00-E88	0.407866
asian	3	M	14	G00-G98	0.815731
asian	3	M	8	I00-I99	0.466132
asian	3	M	17	J00-J98	0.990531
asian	3	M	4	K00-K92	0.233066
asian	3	M	2	P00-P96	0.116533
asian	3	M	32	Q00-Q99	1.864529
asian	3	M	92	V01-Y89	5.360521
asian	4	F	6	A00-B99	0.359183
asian	4	F	31	C00-D48	1.855777
asian	4	F	10	D50-D89	0.598638
asian	4	F	6	E00-E88	0.359183
asian	4	F	1	F01-F99	0.059864
asian	4	F	13	G00-G98	0.778229
asian	4	F	17	I00-I99	1.017684
asian	4	F	18	J00-J98	1.077548
asian	4	F	3	K00-K92	0.179591
asian	4	F	1	M00-M99	0.059864
asian	4	F	16	Q00-Q99	0.957821
asian	4	F	62	V01-Y89	3.711555
asian	4	M	7	A00-B99	0.409729
asian	4	M	30	C00-D48	1.75598
asian	4	M	7	D50-D89	0.409729
asian	4	M	7	E00-E88	0.409729
asian	4	M	1	F01-F99	0.058533
asian	4	M	12	G00-G98	0.702392
asian	4	M	8	I00-I99	0.468261
asian	4	M	12	J00-J98	0.702392
asian	4	M	8	K00-K92	0.468261
asian	4	M	2	M00-M99	0.117065
asian	4	M	1	N00-N98	0.058533
asian	4	M	1	P00-P96	0.058533
asian	4	M	10	Q00-Q99	0.585327
asian	4	M	89	V01-Y89	5.209406
asian	5	F	12	A00-B99	0.720921
asian	5	F	35	C00-D48	2.102686
asian	5	F	1	D50-D89	0.060077
asian	5	F	8	E00-E88	0.480614
asian	5	F	2	F01-F99	0.120153
asian	5	F	8	G00-G98	0.480614
asian	5	F	11	I00-I99	0.660844
asian	5	F	12	J00-J98	0.720921
asian	5	F	6	K00-K92	0.36046
asian	5	F	2	M00-M99	0.120153
asian	5	F	1	N00-N98	0.060077
asian	5	F	1	P00-P96	0.060077
asian	5	F	12	Q00-Q99	0.720921
asian	5	F	58	V01-Y89	3.48445
asian	5	M	8	A00-B99	0.4718
asian	5	M	39	C00-D48	2.300025
asian	5	M	2	D50-D89	0.11795
asian	5	M	5	E00-E88	0.294875
asian	5	M	18	G00-G98	1.06155
asian	5	M	7	I00-I99	0.412825
asian	5	M	12	J00-J98	0.7077
asian	5	M	9	K00-K92	0.530775
asian	5	M	1	M00-M99	0.058975
asian	5	M	1	N00-N98	0.058975
asian	5	M	1	P00-P96	0.058975
asian	5	M	12	Q00-Q99	0.7077
asian	5	M	85	V01-Y89	5.012874
asian	6	F	6	A00-B99	0.363682
asian	6	F	28	C00-D48	1.697185
asian	6	F	6	D50-D89	0.363682
asian	6	F	6	E00-E88	0.363682
asian	6	F	1	F01-F99	0.060614
asian	6	F	12	G00-G98	0.727365
asian	6	F	13	I00-I99	0.787979
asian	6	F	14	J00-J98	0.848592
asian	6	F	3	K00-K92	0.181841
asian	6	F	1	M00-M99	0.060614
asian	6	F	1	P00-P96	0.060614
asian	6	F	15	Q00-Q99	0.909206
asian	6	F	44	V01-Y89	2.667004
asian	6	M	8	A00-B99	0.476633
asian	6	M	41	C00-D48	2.442743
asian	6	M	4	D50-D89	0.238316
asian	6	M	6	E00-E88	0.357475
asian	6	M	16	G00-G98	0.953266
asian	6	M	13	I00-I99	0.774528
asian	6	M	7	J00-J98	0.417054
asian	6	M	4	K00-K92	0.238316
asian	6	M	15	Q00-Q99	0.893686
asian	6	M	65	V01-Y89	3.872641
asian	7	F	8	A00-B99	0.487656
asian	7	F	31	C00-D48	1.889665
asian	7	F	3	D50-D89	0.182871
asian	7	F	5	E00-E88	0.304785
asian	7	F	2	F01-F99	0.121914
asian	7	F	6	G00-G98	0.365742
asian	7	F	8	I00-I99	0.487656
asian	7	F	13	J00-J98	0.79244
asian	7	F	1	K00-K92	0.060957
asian	7	F	1	M00-M99	0.060957
asian	7	F	3	P00-P96	0.182871
asian	7	F	13	Q00-Q99	0.79244
asian	7	F	38	V01-Y89	2.316364
asian	7	M	3	A00-B99	0.180361
asian	7	M	38	C00-D48	2.284572
asian	7	M	4	D50-D89	0.240481
asian	7	M	10	E00-E88	0.601203
asian	7	M	1	F01-F99	0.06012
asian	7	M	15	G00-G98	0.901805
asian	7	M	7	I00-I99	0.420842
asian	7	M	11	J00-J98	0.661324
asian	7	M	5	K00-K92	0.300602
asian	7	M	4	P00-P96	0.240481
asian	7	M	8	Q00-Q99	0.480963
asian	7	M	65	V01-Y89	3.907821
asian	8	F	6	A00-B99	0.371543
asian	8	F	26	C00-D48	1.610019
asian	8	F	5	D50-D89	0.309619
asian	8	F	5	E00-E88	0.309619
asian	8	F	9	G00-G98	0.557314
asian	8	F	4	I00-I99	0.247695
asian	8	F	7	J00-J98	0.433467
asian	8	F	5	K00-K92	0.309619
asian	8	F	1	P00-P96	0.061924
asian	8	F	13	Q00-Q99	0.805009
asian	8	F	40	V01-Y89	2.476952
asian	8	M	5	A00-B99	0.304614
asian	8	M	38	C00-D48	2.315067
asian	8	M	5	D50-D89	0.304614
asian	8	M	4	E00-E88	0.243691
asian	8	M	13	G00-G98	0.791997
asian	8	M	13	I00-I99	0.791997
asian	8	M	7	J00-J98	0.42646
asian	8	M	1	K00-K92	0.060923
asian	8	M	2	N00-N98	0.121846
asian	8	M	1	P00-P96	0.060923
asian	8	M	7	Q00-Q99	0.42646
asian	8	M	58	V01-Y89	3.533524
asian	9	F	1	A00-B99	0.062337
asian	9	F	32	C00-D48	1.994792
asian	9	F	3	D50-D89	0.187012
asian	9	F	2	E00-E88	0.124675
asian	9	F	1	F01-F99	0.062337
asian	9	F	13	G00-G98	0.810384
asian	9	F	13	I00-I99	0.810384
asian	9	F	8	J00-J98	0.498698
asian	9	F	3	K00-K92	0.187012
asian	9	F	2	M00-M99	0.124675
asian	9	F	1	N00-N98	0.062337
asian	9	F	17	Q00-Q99	1.059733
asian	9	F	50	V01-Y89	3.116863
asian	9	M	5	A00-B99	0.305854
asian	9	M	42	C00-D48	2.569177
asian	9	M	3	D50-D89	0.183513
asian	9	M	3	E00-E88	0.183513
asian	9	M	2	F01-F99	0.122342
asian	9	M	12	G00-G98	0.73405
asian	9	M	13	I00-I99	0.795221
asian	9	M	8	J00-J98	0.489367
asian	9	M	3	K00-K92	0.183513
asian	9	M	1	P00-P96	0.061171
asian	9	M	7	Q00-Q99	0.428196
asian	9	M	51	V01-Y89	3.119714
asian	10	F	2	A00-B99	0.123252
asian	10	F	27	C00-D48	1.663896
asian	10	F	3	D50-D89	0.184877
asian	10	F	5	E00-E88	0.308129
asian	10	F	1	F01-F99	0.061626
asian	10	F	20	G00-G98	1.232515
asian	10	F	17	I00-I99	1.047638
asian	10	F	6	J00-J98	0.369755
asian	10	F	3	K00-K92	0.184877
asian	10	F	1	M00-M99	0.061626
asian	10	F	1	N00-N98	0.061626
asian	10	F	2	P00-P96	0.123252
asian	10	F	9	Q00-Q99	0.554632
asian	10	F	33	V01-Y89	2.03365
asian	10	M	9	A00-B99	0.540855
asian	10	M	41	C00-D48	2.463895
asian	10	M	9	D50-D89	0.540855
asian	10	M	5	E00-E88	0.300475
asian	10	M	1	F01-F99	0.060095
asian	10	M	15	G00-G98	0.901425
